year,gender,team,opponent,playerNum,playerName,setsPlayed,atkPts,atkErrors,atkTotal,atkPtsPer,assists,servePts,serveErrors,recErrors,digs,blkPts,blkAst,blkErrors,BHE,totalPts,isMale
2009,Female,Ottawa,Laurier,8,Melissa Morelli,4,10,4,37,0.162,1,1,2,0,15,0,0,0,0,11,0
2009,Female,Ottawa,Laurier,9,Jane Berry,1,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0
2009,Female,Ottawa,Laurier,10,Karina Krueger-Schwanke,4,13,7,42,0.143,2,1,4,2,20,1,0,0,0,15,0
2009,Female,Ottawa,Laurier,11,Claudia Séguin,4,0,0,3,0.0,2,0,0,3,20,0,0,0,0,0,0
2009,Female,Ottawa,Laurier,13,Kathryn Weihrer,4,0,0,1,0.0,0,2,1,0,2,0,0,0,0,2,0
2009,Female,Ottawa,Laurier,14,Tess Edwards,4,7,0,17,0.412,29,0,1,0,12,0,0,0,0,7,0
2009,Female,Ottawa,Laurier,15,Joanie Beauregard,4,5,5,19,0.0,2,3,2,0,4,4,0,1,0,12,0
2009,Female,Ottawa,Laurier,16,Stephanie McGuinty,4,7,8,30,-0.033,0,1,3,0,8,1,0,0,0,9,0
2009,Female,Brock,Waterloo,2,Ally Fast,5,1,0,4,0.25,39,2,0,0,15,0,0,0,0,3,0
2009,Female,Brock,Waterloo,3,Shannon Anderson,5,10,4,45,0.133,0,0,0,0,16,1,0,0,0,11,0
2009,Female,Brock,Waterloo,4,Tori Stirling,5,5,2,26,0.115,0,0,0,0,5,0,1,0,0,5,0
2009,Female,Brock,Waterloo,7,Heather Potts,5,6,4,11,0.182,0,0,0,0,2,0,1,0,0,6,0
2009,Female,Brock,Waterloo,11,Yakira Smeltzer,1,0,0,3,0.0,0,0,0,0,0,0,0,0,0,0,0
2009,Female,Brock,Waterloo,12,Rachel Roorda,5,6,1,11,0.455,0,3,0,0,4,2,3,0,0,11,0
2009,Female,Brock,Waterloo,13,Kaila Wiley,5,0,0,0,0.0,0,0,0,0,12,0,0,0,0,0,0
2009,Female,Brock,Waterloo,14,Leah Urquhart,3,0,0,0,0.0,0,1,0,0,6,0,1,0,0,1,0
2009,Female,Waterloo,Brock,2,J. Meltzer,5,10,4,33,0.182,1,1,0,0,11,0,0,0,0,11,0
2009,Female,Waterloo,Brock,4,S. Ebreo,2,0,1,1,-1.0,5,0,0,0,2,0,0,0,0,0,0
2009,Female,Waterloo,Brock,5,L. Wilk,1,0,1,3,-0.333,0,0,0,0,0,0,0,0,0,0,0
2009,Female,Waterloo,Brock,6,M. Mckenzie,5,11,5,24,0.25,1,0,0,0,2,0,1,0,0,11,0
2009,Female,Waterloo,Brock,7,L. Ledas,5,10,7,24,0.125,2,1,0,0,2,1,4,0,0,12,0
2009,Female,Waterloo,Brock,9,L. Klein,1,3,3,6,0.0,0,0,0,0,3,0,0,0,0,3,0
